id,location_x,location_y,start,end,flow_percent,rate_sccm,density kg/m3
1,0.45,0.03,2023-02-03 09:08:10,2023-02-03 09:09:10,1.0,0.1,1.872
2,0.45,0.03,2023-02-03 09:09:10,2023-02-03 09:10:10,2.0,0.2,1.872
3,0.45,0.03,2023-02-03 09:10:10,2023-02-03 09:11:10,5.0,0.5,1.872
4,0.45,0.03,2023-02-03 09:11:10,2023-02-03 09:12:10,10.0,1.0,1.872
5,0.45,0.03,2023-02-03 09:12:10,2023-02-03 09:13:10,15.0,1.5,1.872
6,0.45,0.03,2023-02-03 09:13:10,2023-02-03 09:58:10,20.0,2.0,1.872
7,0.45,0.03,2023-02-03 09:58:10,2023-02-03 09:59:10,15.0,1.5,1.872
8,0.45,0.03,2023-02-03 09:59:10,2023-02-03 10:00:10,10.0,1.0,1.872
9,0.45,0.03,2023-02-03 10:00:10,2023-02-03 10:01:10,5.0,0.5,1.872
10,0.45,0.03,2023-02-03 10:01:10,2023-02-03 10:02:10,2.0,0.2,1.872
11,0.45,0.03,2023-02-03 10:02:10,2023-02-03 10:03:10,1.0,0.1,1.872
12,0.45,0.03,2023-02-03 10:03:10,2023-02-03 10:03:40,1.0,0.1,1.872
13,0.45,0.03,2023-02-03 10:03:40,2023-02-03 10:04:15,2.4,0.24,1.872
14,0.72,0.18,2023-02-03 10:04:15,2023-02-03 10:04:20,1.0,0.1,1.872
15,0.72,0.18,2023-02-03 10:04:20,2023-02-03 10:06:50,2.0,0.2,1.872
16,0.72,0.18,2023-02-03 10:06:50,2023-02-03 10:07:50,1.0,0.1,1.872
17,0.72,0.18,2023-02-03 10:07:50,2023-02-03 10:08:50,2.0,0.2,1.872
18,0.72,0.18,2023-02-03 10:08:50,2023-02-03 10:09:50,5.0,0.5,1.872
19,0.72,0.18,2023-02-03 10:09:50,2023-02-03 10:10:50,10.0,1.0,1.872
20,0.72,0.18,2023-02-03 10:10:50,2023-02-03 10:11:50,15.0,1.5,1.872
21,0.72,0.18,2023-02-03 10:11:50,2023-02-03 11:26:50,20.0,2.0,1.872
22,0.72,0.18,2023-02-03 11:26:50,2023-02-03 11:27:11,15.0,1.5,1.872
23,0.72,0.18,2023-02-03 11:27:11,2023-02-03 11:28:32,10.0,1.0,1.872
24,0.72,0.18,2023-02-03 11:28:32,2023-02-03 11:29:32,5.0,0.5,1.872
25,0.72,0.18,2023-02-03 11:29:32,2023-02-03 11:30:32,2.0,0.2,1.872
26,0.72,0.18,2023-02-03 11:30:32,2023-02-03 11:31:32,1.0,0.1,1.872
27,0.72,0.18,2023-02-03 11:31:32,2023-02-03 11:31:37,0.0,0.0,1.872
