id,location_x,location_y,start,end,flow_percent,rate_sccm,density kg/m3
1,0.45,0.03,2023-05-09 12:45:10,2023-05-09 12:46:10,1.0,0.1,1.872
2,0.45,0.03,2023-05-09 12:46:10,2023-05-09 12:47:10,2.0,0.2,1.872
3,0.45,0.03,2023-05-09 12:47:10,2023-05-09 12:48:10,5.0,0.5,1.872
4,0.45,0.03,2023-05-09 12:48:10,2023-05-09 12:49:10,10.0,1.0,1.872
5,0.45,0.03,2023-05-09 12:49:10,2023-05-09 12:50:10,15.0,1.5,1.872
6,0.45,0.03,2023-05-09 12:50:10,2023-05-09 13:35:10,20.0,2.0,1.872
7,0.45,0.03,2023-05-09 13:35:10,2023-05-09 13:36:10,15.0,1.5,1.872
8,0.45,0.03,2023-05-09 13:36:10,2023-05-09 13:37:10,10.0,1.0,1.872
9,0.45,0.03,2023-05-09 13:37:10,2023-05-09 13:38:10,5.0,0.5,1.872
10,0.45,0.03,2023-05-09 13:38:10,2023-05-09 13:39:10,2.0,0.2,1.872
11,0.45,0.03,2023-05-09 13:39:10,2023-05-09 13:40:10,1.0,0.1,1.872
12,0.45,0.03,2023-05-09 13:40:10,2023-05-09 13:40:40,1.0,0.1,1.872
13,0.45,0.03,2023-05-09 13:40:40,2023-05-09 13:41:15,2.4,0.24,1.872
14,0.72,0.18,2023-05-09 13:41:15,2023-05-09 13:41:20,1.0,0.1,1.872
15,0.72,0.18,2023-05-09 13:41:20,2023-05-09 13:43:50,2.0,0.2,1.872
16,0.72,0.18,2023-05-09 13:43:50,2023-05-09 13:44:50,1.0,0.1,1.872
17,0.72,0.18,2023-05-09 13:44:50,2023-05-09 13:45:50,2.0,0.2,1.872
18,0.72,0.18,2023-05-09 13:45:50,2023-05-09 13:46:50,5.0,0.5,1.872
19,0.72,0.18,2023-05-09 13:46:50,2023-05-09 13:47:50,10.0,1.0,1.872
20,0.72,0.18,2023-05-09 13:47:50,2023-05-09 13:48:50,15.0,1.5,1.872
21,0.72,0.18,2023-05-09 13:48:50,2023-05-09 15:03:50,20.0,2.0,1.872
22,0.72,0.18,2023-05-09 15:03:50,2023-05-09 15:04:11,15.0,1.5,1.872
23,0.72,0.18,2023-05-09 15:04:11,2023-05-09 15:05:32,10.0,1.0,1.872
24,0.72,0.18,2023-05-09 15:05:32,2023-05-09 15:06:32,5.0,0.5,1.872
25,0.72,0.18,2023-05-09 15:06:32,2023-05-09 15:07:32,2.0,0.2,1.872
26,0.72,0.18,2023-05-09 15:07:32,2023-05-09 15:08:32,1.0,0.1,1.872
27,0.72,0.18,2023-05-09 15:08:32,2023-05-09 15:08:37,0.0,0.0,1.872
